name,price,link,image
Acer Aspire Vero 16 AI Eco-friendly Laptop,"IDR16,999,000",https://store.acer.com/en-id/aspire-vero-16-ai-nx-kv7sn-002,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 5 Slim (12th Gen) Performance Laptop | EX-Demo,"IDR8,999,000",https://store.acer.com/en-id/aspire-5-a514-55g-grey-i5-nx-k5fsn-001-ex-demo,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
SanDisk Ultra 32GB Dual Drive m3.0,"IDR80,900",https://store.acer.com/en-id/sandisk-ultra-32gb-sddd3-032g-g46,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Go 14 AI On The Go Laptop (Intel Evo Edition),"IDR21,499,000",https://store.acer.com/en-id/swift-go-14-ai-sfg14-73-nx-ku7sn-005,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire Spin 14 Laptop | Intel® Core™ 7 processor 150U,"IDR16,669,000",https://store.acer.com/en-id/aspire-spin-14-asp14-51mtn-nx-kt3sn-002,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire Spin 14 Laptop,"IDR11,999,000",https://store.acer.com/en-id/aspire-spin-14-asp14-51mtn-nx-kt3sn-003,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 14 AI Laptop,"IDR12,499,000",https://store.acer.com/en-id/aspire-14-ai-a14-51gm-nx-j2psn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 3 Slim Performance Laptop,"IDR6,149,000",https://store.acer.com/en-id/aspire-3-slim-a314-36p-nx-kdjsn-007,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 3 Slim Performance Laptop,"IDR6,149,000",https://store.acer.com/en-id/aspire-3-slim-a314-35-nx-a7ssn-00m,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 3 Slim Performance Laptop,"IDR5,699,000",https://store.acer.com/en-id/aspire-3-slim-a314-35-silver-nx-a7ssn-00l,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 3 Slim Performance Laptop,"IDR6,479,000",https://store.acer.com/en-id/aspire-3-slim-a314-36p-nx-kdjsn-00a,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 3 Slim Performance Laptop,"IDR8,499,000",https://store.acer.com/en-id/aspire-3-slim-a314-36m-nx-kdmsn-005,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire Lite 15 Upgradable Laptop,"IDR8,399,000",https://store.acer.com/en-id/aspire-lite-15-nx-j54sn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift 3 OLED Ultrathin Laptop,"IDR16,039,000",https://store.acer.com/en-id/acer-swift-3-oled-sf314-71-nx-kawsn-003-gold,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift 3 Now Ultrathin Laptop,"IDR14,849,000",https://store.acer.com/en-id/acer-swift-3-now-sf314-512-nx-k7jsn-003,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 3 Slim Performance Laptop,"IDR7,199,000",https://store.acer.com/en-id/aspire-3-a314-23m-ryzen-3-silver-nx-kexsn-006,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 3 Slim Performance Laptop,"IDR10,199,000",https://store.acer.com/en-id/aspire-3-a314-23m-ryzen-5-silver-nx-kexsn-007,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift 3 OLED Ultrathin Laptop,"IDR18,979,000",https://store.acer.com/en-id/swift-3-oled-sf314-71-nx-kavsn-002,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
